CATE_real,CATE_estimado,cubre
7.18237299040634,6.54941506406712,1
9.49173912016349,9.10019416340881,1
7.36849346544155,5.43555573575697,0
3.66961954262676,1.07579586300789,0
3.54124829133889,6.54643572557947,0
-0.694068369310864,2.83647771373345,0
8.85691300795562,8.6201521392063,1
3.22602927399349,4.70468603458561,0
8.31977958293446,7.81134830618772,1
9.72222952736297,7.7799645414042,0
-5.42833245156611,0.652378042437925,0
4.36559682062098,5.24098349013058,1
-3.39412325800765,-0.623109417958462,0
-6.21332572873436,0.457805796811528,0
0.504318643302494,-0.239870665075226,1
1.56727970846957,-0.12039593106768,1
-3.92532043793439,-3.8450074883513,1
8.33470617884632,8.92520763449786,1
6.12318674519097,6.82308679457516,1
3.6310974485822,3.59254141926599,1
8.61035970507091,7.81134830618772,1
2.83407974777296,-1.58669250599905,0
-8.13165375826349,-4.27602238646913,0
4.04087538916199,2.22702124500415,0
5.90606487116615,5.66327849440518,1
1.06254465373593,-0.239870665075226,1
3.3704624945524,5.47791009558461,0
3.36582078160697,4.70513612207901,0
2.96236790651349,2.5353097211795,1
0.255145749248362,3.99532707151026,0
7.07228520878545,7.7799645414042,1
9.54074426771735,9.4066966241568,1
-3.57465900918693,3.15528669745952,0
2.05895387156274,1.86476004549725,1
0.321348475816386,0.805020675429625,1
6.71651648695918,5.43429111025985,1
-5.18805178337295,0.457805796811528,0
-4.56707349602937,-3.74648481360212,1
5.89893519718533,5.33690626880666,1
-6.90550523890465,-5.03146697737381,1
5.59792990300877,3.41843792041683,0
9.18441016859881,7.25717984691782,0
-6.80441576515494,-5.59418626545873,1
2.16965434797896,3.39670454814247,1
1.63934220635101,4.93284224886619,0
5.36814973377198,5.40108622500063,1
3.04515595072102,4.36405076727447,1
3.96726573862803,4.22724175343542,1
5.70556060769763,2.5353097211795,0
3.5843509144526,4.92978171261613,0
8.31301581765565,7.27725105451342,1
6.98805451638332,7.31172056526976,1
7.9152500964663,5.43555573575697,0
-5.77113861570539,0.149664555547143,0
-4.52366847668685,-1.84113516268894,0
7.52086008491986,5.74061123104853,0
8.47880403133891,9.13302489364875,1
7.9063866875609,5.43555573575697,0
2.98615509278708,2.60065457961082,1
8.90154358686854,7.29001057715777,0
-6.30868190132577,-2.77476714536592,0
7.1484870351683,7.31172056526976,1
3.93768658215949,4.93284224886619,1
-0.134766619043951,0.893401813516381,1
7.57824586965218,5.74061123104853,0
1.85078698577898,1.86007291013162,1
8.07997966987388,5.66327849440518,0
4.67208952999258,5.24098349013058,1
-1.98751319077354,1.63589073374823,0
4.41069075622731,4.22724175343542,1
4.50393127081669,2.22716847991511,0
0.318815881769087,4.93284224886619,0
2.4753231446536,0.319151162583696,0
2.18054577321471,1.49357662904057,1
5.22915844906892,5.31266037367888,1
6.62361814195381,4.71491065451938,0
5.49439172042657,5.31266037367888,1
8.0143398519338,6.62735630160251,0
2.16189007626231,2.921065781442,1
3.51979220700456,1.80720645313186,1
5.79000335523451,6.85770763401833,1
9.22966574052327,8.68687723510444,1
7.20683139171492,8.37873599384005,1
2.08952644462343,6.31123599336051,0
3.85237242801985,1.13102488850443,0
6.03965717808632,5.31266037367888,1
9.36741793938836,8.89210915672383,1
9.47319797298555,7.77690400515414,0
5.54133612250396,2.01415308774177,0
10.5490721105949,9.40974531286943,1
4.72383699950888,3.33542501754214,1
8.07080023554764,9.16350309643115,1
8.27820169795908,6.6193772346249,0
10.1606112796449,9.16976745041825,1
6.68526439319064,4.83105105467785,0
9.56902486964059,7.3784456611679,0
6.46397233804977,3.60105132620924,0
8.47826851744892,6.77898122901788,0
3.36692682604456,0.835488784895658,0
4.36434505118471,5.31266037367888,1
3.53071299162862,4.34094270544268,1
-0.813127369053984,-1.07537964356601,1
3.5632615660994,4.22737370980469,1
5.68134265856025,5.50596799380815,1
3.1050412264223,1.42924372444611,1
-0.00581361056816654,-0.244473698969015,1
2.13099560677329,4.4369922763199,0
0.837303205407906,0.120812150509569,1
3.88114604100188,1.45271686900682,0
7.26317405021264,5.31766010216884,0
