CATE_real,CATE_estimado,cubre
4,3.9332882474174,1
4,3.87920823667946,1
4,3.8430401281407,1
4,3.7577334135806,1
4,3.93373567553115,1
4,3.92916701501454,1
4,3.87807798814666,1
4,3.80010460505737,1
4,3.89464251528184,1
4,3.85141398797441,1
4,3.91266528637246,1
4,3.82176088703863,1
4,3.81524286624006,1
4,3.94297054362658,1
4,3.92445290740243,1
4,3.82478093760742,1
4,3.91333977767314,1
4,3.90125137042064,1
4,3.94019340535399,1
4,3.80814939761824,1
4,3.9038508019954,1
4,3.80037481882101,1
4,3.79701683373555,1
4,3.95186358584265,1
4,3.83871001547886,1
4,3.9415749867286,1
4,3.96749985814358,1
4,3.87414135851757,1
4,3.92027755088682,1
4,3.91725896533313,1
4,3.94488144973015,1
4,3.85013323115587,1
4,3.93938607182896,1
4,3.8980786845635,1
4,3.94652678034722,1
4,3.92661063881308,1
4,3.87536460638891,1
4,3.89304098770029,1
4,3.90299218634022,1
4,3.96549194640427,1
4,3.91029562938421,1
4,3.72281831212107,1
4,3.78578850752268,1
4,3.80311424713026,1
4,3.90911162761593,1
4,3.93231303501796,1
4,3.95815071019853,1
4,3.86510803165394,1
4,3.9165360054412,1
4,3.89211500903831,1
4,3.90482402586303,1
4,3.90335416501661,1
4,3.85151532890029,1
4,3.93864081823263,1
4,3.92606771247502,1
4,3.89699833752646,1
4,3.84996639072858,1
4,3.85172168632613,1
4,3.89658707903404,1
4,3.76247659488689,1
4,3.8677624072499,1
4,3.83147606406595,1
4,3.80091117692893,1
4,3.90329323106537,1
4,3.89125301114152,1
4,3.95592892249746,1
4,3.75584857712522,1
4,3.88100913864606,1
4,3.87576274946658,1
4,3.86551776288395,1
4,3.9154902741342,1
4,3.8373407727785,1
4,3.8331782228118,1
4,3.86211883413505,1
4,3.89946018813385,1
4,3.8310155290021,1
4,3.85833469189556,1
4,3.9203420401533,1
4,3.95603752628426,1
4,3.87893768475816,1
4,3.90020840822116,1
4,3.89136504326221,1
4,3.90783923303921,1
4,3.92103545181812,1
4,3.97597362304831,1
4,3.8707319126782,1
4,3.90788627008392,1
4,3.9130248198343,1
4,3.88565357880201,1
4,3.8457097241902,1
4,3.96032210824416,1
4,3.87680667940927,1
4,3.89553498394726,1
4,3.88843081018643,1
4,3.91302457334398,1
4,3.90531628360317,1
4,3.7991875001016,1
4,3.81645074225969,1
4,3.89766749123436,1
4,3.88258953589449,1
4,3.89123448607521,1
4,3.82343684868168,1
4,3.87568065737008,1
4,3.90246066620238,1
4,3.79635304262616,1
4,3.89368985740198,1
4,3.92350101736026,1
4,3.83355937251537,1
4,3.79111546524399,1
4,3.91502109265474,1
4,3.89802548348665,1
4,3.9338499435709,1
4,3.9085135364058,1
4,3.90533842205827,1
4,3.8275231988002,1
4,3.82965013608626,1
4,3.8973831610855,1
4,3.93857630624562,1
4,3.87096470925756,1
4,3.93220271622717,1
4,3.91267581544589,1
4,3.94276218918482,1
4,3.93979908932044,1
4,3.89793984576197,1
4,3.96058842522328,1
4,3.90833163317242,1
4,3.95270870633378,1
4,3.87768240589312,1
4,3.92131095900743,1
4,3.90087543515438,1
4,3.87046955748467,1
4,3.87082631525581,1
4,3.83211222866857,1
4,3.80559002585499,1
4,3.90874550379372,1
4,3.93449297259898,1
4,3.90271877400019,1
4,3.91468103711468,1
4,3.90179724985844,1
4,3.92611853580627,1
4,3.88642980851466,1
4,3.87691559236019,1
4,3.87457566925333,1
4,3.90846357440187,1
4,3.992681616591,1
4,3.9162178373033,1
4,3.93601580949798,1
4,3.93661358188904,1
4,3.91035423096332,1
4,3.91407916603788,1
4,3.83720910452458,1
4,3.84680458857835,1
4,3.74800954640031,1
4,3.81416770196018,1
4,3.84689875377595,1
4,3.80732932853453,1
4,3.82206467396437,1
4,3.89348625110389,1
4,3.72921166175391,1
4,3.9093625378803,1
4,3.7527630271,1
4,3.81080151993328,1
4,3.81062415690103,1
4,3.73664315416741,1
4,3.86531485506378,1
4,3.88271146566105,1
4,3.79204578082164,1
4,3.83744749194322,1
4,3.80631509877535,1
